# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 258K of event 'cycles:P'
# Event count (approx.): 252527269824
#
# Overhead  Command  Shared Object         Symbol                                                                                                                                                                               
# ........  .......  ....................  .....................................................................................................................................................................................
#
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f71ae1
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87c4b
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff9601fce3
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f72467
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff96016a89
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f7240b
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6da89
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff9500e804
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ea8168
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f99461
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f68022
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff9500371e
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f68001
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55d0f
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff962001cd
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff96016e13
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f504d5
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f67fe1
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfdb0
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfdb9
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f7179d
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff95199ebd
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f713bd
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff96006b0e
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f71aa7
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55842
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f713ba
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff9519a73a
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f84886
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f84fdd
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff950117d4
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff950023da
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f713b7
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff9519aaac
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ea8167
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff96020a4a
     0.08%  a.out    libc.so.6             [.] cfree@GLIBC_2.2.5
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87a5b
     0.08%  a.out    [kernel.kallsyms]     [k] 0xffffffff950117d6
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87c7c
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f727b8
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94e699e8
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff9518f0e0
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff95011775
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f9945e
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff96006bb8
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff9602107e
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfda2
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94e06572
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87bd8
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff9519b1d7
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff9500351c
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f7145c
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff9500309f
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff950023e2
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff96003461
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f71aa2
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6dae6
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff9500360a
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f66b46
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f99713
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff96016e1e
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6b969
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6cff9
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6dae5
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6cff2
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ea8155
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55d11
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87c88
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff951b0b30
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f72404
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff950023d6
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff95004146
     0.07%  a.out    [kernel.kallsyms]     [k] 0xffffffff95ffeb85
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6cff6
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff96200132
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6d387
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f7239e
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f9974b
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f71ade
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff9563aadc
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff95004144
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94e06574
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f997b6
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff9601e336
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff9601e343
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff9500309b
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f919fb
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff96006b82
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff96016854
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8da30
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff96006aef
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff96020a46
